Price,Property Details,Bedrooms,Bathrooms,Size,Property Type,Postal Code
2498000,"3bds4ba1,751sqft- House for sale",3,4,"1,751",House for sale,V5V 2K2
2499000,"3bds4ba3,095sqft- Condo for sale",3,4,"3,095",Condo for sale,V6B 2W6
3499000,"3bds3ba2,086sqft- Townhouse for sale",3,3,"2,086",Townhouse for sale,V6Z 2Y3
2698000,"8bds4ba2,400sqft- House for sale",8,4,"2,400",House for sale,V5X 1C9
3380000,"3bds3ba2,519sqft- House for sale",3,3,"2,519",House for sale,V6S 1C2
1588000,"5bds5ba1,758sqft- Multi-family home for sale",5,5,"1,758",Multi-family home for sale,V5R 3B4
6688000,"10bds10ba6,057sqft- House for sale",10,10,"6,057",House for sale,V6M 2G7
1499800,"2bds2ba1,161sqft- Townhouse for sale",2,2,"1,161",Townhouse for sale,V6G 2E2
1998000,"7bds6ba2,421sqft- House for sale",7,6,"2,421",House for sale,V5P 1A3
1648000,"5bds2ba2,040sqft- House for sale",5,2,"2,040",House for sale,V5T 2H4
12250000,"4bds5ba5,420sqft- Condo for sale",4,5,"5,420",Condo for sale,V6C 0A2
5299000,"5bds5ba3,347sqft- House for sale",5,5,"3,347",House for sale,V6R 1H4
9580000,"6bds7ba5,209sqft- House for sale",6,7,"5,209",House for sale,V6M 3P1
4378000,"3bds4ba3,092sqft- House for sale",3,4,"3,092",House for sale,V6M 3T5
1498800,"3bds2ba1,464sqft- House for sale",3,2,"1,464",House for sale,V5W 2Y9
3498000,"4bds4ba3,464sqft- House for sale",4,4,"3,464",House for sale,V6S 1N2
3399888,"4bds4ba2,073sqft- Condo for sale",4,4,"2,073",Condo for sale,V6B 0L1
545900,Studio1ba455sqft- Condo for sale,0,1,455,Condo for sale,V6A 2J6
899999,2bds1ba812sqft- Condo for sale,2,1,812,Condo for sale,V6J 4V4
1499000,"3bds4ba1,471sqft- Multi-family home for sale",3,4,"1,471",Multi-family home for sale,V5N 2V8
399888,1bd1ba566sqft- Condo for sale,1,1,566,Condo for sale,V6A 0B2
1398000,"3bds4ba1,356sqft- Multi-family home for sale",3,4,"1,356",Multi-family home for sale,V5R 1Y5
1088000,2bds2ba855sqft- Condo for sale,2,2,855,Condo for sale,V6H 4G8
2499000,"2bds3ba1,634sqft- House for sale",2,3,"1,634",House for sale,V6J 2L2
1599900,"3bds2ba1,756sqft- House for sale",3,2,"1,756",House for sale,V5R 1W1
749000,1bd1ba840sqft- Townhouse for sale,1,1,840,Townhouse for sale,V6H 1A7
1598888,"5bds4ba1,717sqft- Multi-family home for sale",5,4,"1,717",Multi-family home for sale,V5M 1L9
3880000,"6bds6ba4,220sqft- House for sale",6,6,"4,220",House for sale,V6M 4E8
3658000,"6bds6ba2,887sqft- House for sale",6,6,"2,887",House for sale,V6K 2R1
4699000,"4bds6ba3,027sqft- House for sale",4,6,"3,027",House for sale,V6S 1P5
749900,2bds1ba860sqft- Condo for sale,2,1,860,Condo for sale,V6E 1L6
509000,1bd1ba527sqft- Condo for sale,1,1,527,Condo for sale,V6E 4C2
2088000,"5bds2ba2,116sqft- House for sale",5,2,"2,116",House for sale,V5V 4R5
1099000,"2bds2ba1,006sqft- Condo for sale",2,2,"1,006",Condo for sale,V6G 1Z3
6500000,"3bds3ba1,998sqft- Condo for sale",3,3,"1,998",Condo for sale,V6G 3H7
1899000,"4bds3ba1,380sqft- Multi-family home for sale",4,3,"1,380",Multi-family home for sale,V6K 2B7
549000,1bd1ba526sqft- Condo for sale,1,1,526,Condo for sale,V6J 4P9
1548000,"3bds4ba1,430sqft- Multi-family home for sale",3,4,"1,430",Multi-family home for sale,V5N 2V8
970000,3bds2ba962sqft- Condo for sale,3,2,962,Condo for sale,V6B 6N6
1499000,"1bd2ba1,091sqft- Condo for sale",1,2,"1,091",Condo for sale,V6A 4H6
7500000,"6bds8ba4,810sqft- House for sale",6,8,"4,810",House for sale,V6M 1L1
1399000,"3bds4ba1,285sqft- Multi-family home for sale",3,4,"1,285",Multi-family home for sale,V5R 1M1
975000,"2bds2ba1,039sqft- Condo for sale",2,2,"1,039",Condo for sale,V6B 0E8
790000,2bds2ba804sqft- Condo for sale,2,2,804,Condo for sale,V5N 1Z2
1649000,"4bds2ba1,789sqft- House for sale",4,2,"1,789",House for sale,V5R 1Y1
980000,"3bds3ba1,213sqft- Townhouse for sale",3,3,"1,213",Townhouse for sale,V5S 0E3
1795000,"2bds2ba1,791sqft- Multi-family home for sale",2,2,"1,791",Multi-family home for sale,V6K 1G8
1498000,"2bds2ba1,099sqft- Condo for sale",2,2,"1,099",Condo for sale,V6B 0H4
3850000,"4bds3ba2,041sqft- Condo for sale",4,3,"2,041",Condo for sale,V6G 2R2
2399000,"5bds4ba2,347sqft- Multi-family home for sale",5,4,"2,347",Multi-family home for sale,V5N 2N3
1899000,"6bds3ba2,325sqft- House for sale",6,3,"2,325",House for sale,V6R 3L3
2769000,"6bds4ba2,408sqft- House for sale",6,4,"2,408",House for sale,V6S 1Z5
2780000,"2bds3ba1,841sqft- Condo for sale",2,3,"1,841",Condo for sale,V6B 1S2
756000,"2bds2ba1,053sqft- Condo for sale",2,2,"1,053",Condo for sale,V6A 4B6
5990000,"5bds7ba4,732sqft- House for sale",5,7,"4,732",House for sale,V6M 2L8
660000,2bds1ba610sqft- Condo for sale,2,1,610,Condo for sale,V6Z 1W1
3490000,"4bds4ba2,564sqft- House for sale",4,4,"2,564",House for sale,V6L 1W6
3680000,"3bds4ba2,358sqft- Condo for sale",3,4,"2,358",Condo for sale,V6B 0M6
2498000,"3bds3ba2,701sqft- House for sale",3,3,"2,701",House for sale,V6K 1T1
2888000,"5bds4ba2,618sqft- House for sale",5,4,"2,618",House for sale,V6M 2T5
8900000,"4bds5ba3,722sqft- Condo for sale",4,5,"3,722",Condo for sale,V6C 0B5
1588000,"3bds3ba1,385sqft- House for sale",3,3,"1,385",House for sale,V5N 2W5
1190000,"3bds2ba1,095sqft- Condo for sale",3,2,"1,095",Condo for sale,V6B 0C7
8890000,"5bds6ba6,422sqft- House for sale",5,6,"6,422",House for sale,V6J 4H2
14880000,"6bds8ba9,072sqft- House for sale",6,8,"9,072",House for sale,V6H 2H5
7598000,"3bds4ba2,948sqft- Condo for sale",3,4,"2,948",Condo for sale,V6Z 3G1
528000,2bds1ba777sqft- Condo for sale,2,1,777,Condo for sale,V5V 3E2
3998000,"4bds4ba2,773sqft- House for sale",4,4,"2,773",House for sale,V5Z 1Z7
395000,1bd1ba584sqft- Condo for sale,1,1,584,Condo for sale,V6P 4E6
4449000,"4bds5ba4,002sqft- House for sale",4,5,"4,002",House for sale,V6J 3A1
555000,1bd1ba482sqft- Condo for sale,1,1,482,Condo for sale,V6Z 0E3
1549000,"2bds2ba1,230sqft- Condo for sale",2,2,"1,230",Condo for sale,V6Z 2S8
899900,"2bds2ba1,161sqft- Condo for sale",2,2,"1,161",Condo for sale,V6B 0E6
2498000,"4bds4ba3,299sqft- House for sale",4,4,"3,299",House for sale,V5T 2N6
1129000,2bds2ba991sqft- Townhouse for sale,2,2,991,Townhouse for sale,V5N 3S3
1799900,"3bds3ba2,614sqft- House for sale",3,3,"2,614",House for sale,V5R 4W4
5868000,"2bds3ba2,259sqft- Condo for sale",2,3,"2,259",Condo for sale,V6C 3T1
1188000,"3bds3ba1,097sqft- Multi-family home for sale",3,3,"1,097",Multi-family home for sale,V5X 2A4
4250000,"4bds6ba2,891sqft- House for sale",4,6,"2,891",House for sale,V6K 2Z7
2698000,"4bds2ba2,138sqft- House for sale",4,2,"2,138",House for sale,V6S 1C9
1899000,"3bds2ba1,749sqft- House for sale",3,2,"1,749",House for sale,V5W 2V6
550000,1bd1ba536sqft- Condo for sale,1,1,536,Condo for sale,V6Z 2S8
2499000,"4bds4ba1,905sqft- Multi-family home for sale",4,4,"1,905",Multi-family home for sale,V6R 2T7
1688000,"2bds2ba1,273sqft- Condo for sale",2,2,"1,273",Condo for sale,V6Z 2R1
890000,2bds1ba914sqft- Condo for sale,2,1,914,Condo for sale,V6K 4L6
4398000,"5bds6ba2,967sqft- House for sale",5,6,"2,967",House for sale,V6S 1E2
6690000,"5bds7ba4,398sqft- House for sale",5,7,"4,398",House for sale,V6R 2S8
919000,"2bds2ba1,001sqft- Condo for sale",2,2,"1,001",Condo for sale,V6E 1P3
7388000,"8bds8ba4,777sqft- House for sale",8,8,"4,777",House for sale,V6L 1G3
599000,1bd1ba605sqft- Condo for sale,1,1,605,Condo for sale,V5K 3G4
989000,"3bds3ba1,404sqft- Townhouse for sale",3,3,"1,404",Townhouse for sale,V5K 5H5
878000,2bds2ba927sqft- Condo for sale,2,2,927,Condo for sale,V5L 1Z3
1998000,"3bds3ba1,333sqft- Townhouse for sale",3,3,"1,333",Townhouse for sale,V6L 1S2
1588000,"3bds3ba1,315sqft- House for sale",3,3,"1,315",House for sale,V5N 2W6
4680000,"4bds6ba2,760sqft- House for sale",4,6,"2,760",House for sale,V6R 3B5
1750000,"7bds4ba2,080sqft- House for sale",7,4,"2,080",House for sale,V5N 4J9
1995000,"2bds3ba1,890sqft- Townhouse for sale",2,3,"1,890",Townhouse for sale,V6J 4X3
925000,"2bds2ba1,061sqft- Condo for sale",2,2,"1,061",Condo for sale,V5P 4X2
3548000,"6bds5ba3,911sqft- House for sale",6,5,"3,911",House for sale,V6P 3R4
1349000,"3bds2ba1,115sqft- Condo for sale",3,2,"1,115",Condo for sale,V5V 1H7
1499999,"3bds3ba1,331sqft- Townhouse for sale",3,3,"1,331",Townhouse for sale,V5L 4H3
799000,1bd1ba667sqft- Condo for sale,1,1,667,Condo for sale,V6J 5L9
6980000,"6bds8ba6,502sqft- House for sale",6,8,"6,502",House for sale,V6P 6J4
2799000,"2bds3ba1,955sqft- Condo for sale",2,3,"1,955",Condo for sale,V6J 1H2
1938000,"5bds3ba2,171sqft- House for sale",5,3,"2,171",House for sale,V5P 4B3
2598000,"2bds3ba1,574sqft- Condo for sale",2,3,"1,574",Condo for sale,V6E 1V6
1488000,"2bds2ba1,084sqft- Condo for sale",2,2,"1,084",Condo for sale,V6B 2X6
4199800,"9bds8ba3,025sqft- House for sale",9,8,"3,025",House for sale,V6L 2A4
3798000,"2bds2ba1,730sqft- House for sale",2,2,"1,730",House for sale,V6R 1K7
1999000,"2bds2ba1,606sqft- Condo for sale",2,2,"1,606",Condo for sale,V6E 1T7
1800000,"3bds2ba1,657sqft- House for sale",3,2,"1,657",House for sale,V5N 2E8
3488000,"5bds6ba3,394sqft- House for sale",5,6,"3,394",House for sale,V5R 5P4
1359000,"6bds3ba2,647sqft- House for sale",6,3,"2,647",House for sale,V5T 3W5
739900,1bd1ba587sqft- Condo for sale,1,1,587,Condo for sale,V5Y 0L7
499900,1bd1ba405sqft- Condo for sale,1,1,405,Condo for sale,V6B 3E6
5678000,"4bds6ba4,857sqft- House for sale",4,6,"4,857",House for sale,V6J 3K8
1130000,2bds2ba925sqft- Condo for sale,2,2,925,Condo for sale,V6Z 2Z5
1968000,"6bds5ba1,988sqft- House for sale",6,5,"1,988",House for sale,V5K 3A4
2649000,"2bds3ba1,596sqft- Townhouse for sale",2,3,"1,596",Townhouse for sale,V6Z 0A7
699000,1bd1ba610sqft- Condo for sale,1,1,610,Condo for sale,V6B 1M9
2988888,"2bds2ba1,536sqft- Condo for sale",2,2,"1,536",Condo for sale,V6B 5T1
2288000,"6bds3ba2,941sqft- House for sale",6,3,"2,941",House for sale,V5R 3H5
799900,2bds2ba862sqft- Condo for sale,2,2,862,Condo for sale,V6E 4E4
7380000,"5bds7ba4,602sqft- House for sale",5,7,"4,602",House for sale,V6S 1P3
